"ACCOUNTID";"CODE";"CODE_MA";"IS_CHURN";"CHURN_DATE"
"1719776";"SA960016835";"MA290011402";"0";""
"1719858";"SA310016645";"MA180005686";"0";""
"1719889";"SA320019795";"MA530014239";"0";""
"1720056";"SA690006400";"MA530020400";"0";""
"1720089";"SA270016146";"MA390013426";"1";"31.08.2022"
"1720140";"SA140010306";"MA650016015";"0";""
"1720188";"SA350014063";"MA110011465";"0";""
"1720377";"SA290017133";"MA370000501";"0";""
"1720511";"SA130013110";"MA430005039";"0";""
"1720531";"SA330017330";"MA880009152";"0";""
"1720561";"SA640012832";"MA660018497";"0";""
"1720589";"SA530017972";"MA470020743";"0";""
"1720636";"SA100010160";"MA170004867";"0";""
"1720728";"SA150004369";"MA240010202";"0";""
"1720825";"SA650015944";"MA500018712";"0";""
"1720934";"SA670018659";"MA860007639";"0";""
"1720954";"SA640006141";"MA370011838";"0";""
"1720966";"SA620021168";"MA100004510";"0";""
"1721066";"SA860014972";"MA890017777";"0";""
"1721108";"SA910016782";"MA920008615";"0";""
"1721115";"SA320015320";"MA900018131";"0";""
"1721137";"SA680002239";"MA340010805";"1";"31.10.2021"
"1721291";"SA100011359";"MA460017044";"0";""
"1721293";"SA780005498";"MA670002917";"0";""
"1721303";"SA730019026";"MA650013447";"1";"30.09.2022"
"1721426";"SA350000954";"MA560012154";"0";""
"1721478";"SA240008760";"MA760000553";"0";""
"1721488";"SA790000265";"MA170011471";"0";""
"1721556";"SA560006888";"MA960012649";"0";""
"1721596";"SA780009323";"MA870009615";"0";""
"1721630";"SA130004095";"MA300020835";"0";""
"1721786";"SA200012978";"MA560010483";"0";""
"1721954";"SA730007444";"MA680013187";"0";""
"1722141";"SA380012383";"MA750004268";"0";""
"1722182";"SA790021079";"MA710010028";"0";""
"1722384";"SA460002771";"MA730008543";"0";""
"1722714";"SA200004376";"MA830018371";"0";""
"1722854";"SA550001294";"MA330018001";"0";""
"1722880";"SA670004643";"MA280015875";"0";""
"1723008";"SA290018891";"MA170016040";"0";""
"1723330";"SA530018471";"MA530007448";"0";""
"1723336";"SA220022117";"MA520002632";"1";"30.09.2020"
"1723425";"SA860005690";"MA250019648";"1";"31.12.2022"
"1723533";"SA290019996";"MA210000503";"0";""
"1723565";"SA810002785";"MA640008558";"0";""
"1723570";"SA750018361";"MA240007340";"0";""
"1723579";"SA720012159";"MA820015094";"0";""
"1723824";"SA910019557";"MA730002922";"0";""
"1723867";"SA180002858";"MA660016789";"0";""
"1723999";"SA260018757";"MA290015916";"0";""
"1724030";"SA460004336";"MA700010164";"0";""
"1724177";"SA950012423";"MA710007106";"0";""
"1724388";"SA840011230";"MA660011487";"0";""
"1724420";"SA680003896";"MA180009705";"0";""
"1724454";"SA150014355";"MA400017196";"0";""
"1724532";"SA530019622";"MA340014034";"0";""
"1724538";"SA170002575";"MA740008345";"1";"31.10.2021"
"1724554";"SA410010417";"MA300002277";"1";"30.06.2021"
"1724588";"SA330002565";"MA680002696";"1";"30.11.2021"
"1724593";"SA320002871";"MA890016802";"0";""
"1724816";"SA290017598";"MA300017567";"0";""
"1724941";"SA110021763";"MA450002243";"1";"31.07.2020"
"1725001";"SA950003039";"MA430006006";"0";""
"1725017";"SA680004940";"MA210010758";"1";"31.08.2020"
"1725025";"SA160021997";"MA900013621";"1";"30.09.2021"
"1725257";"SA550014093";"MA580011490";"0";""
"1725350";"SA880019094";"MA900002411";"1";"31.08.2022"
"1725392";"SA150005339";"MA830013807";"1";"30.06.2021"
"1725454";"SA130000589";"MA170017240";"0";""
"1725636";"SA550011457";"MA480008975";"0";""
"1725708";"SA280002745";"MA960013961";"0";""
"1725970";"SA540009317";"MA320015045";"0";""
"1726050";"SA410015157";"MA700017974";"0";""
"1726126";"SA460009280";"MA260009579";"0";""
"1726277";"SA790011317";"MA390017008";"0";""
"1726288";"SA280011798";"MA400006515";"0";""
"1726340";"SA270001966";"MA260015935";"0";""
"1726469";"SA130017366";"MA400014669";"0";""
"1726608";"SA710008450";"MA240019663";"0";""
"1726762";"SA340021647";"MA820018765";"0";""
"1726828";"SA950007352";"MA540015804";"0";""
"1726840";"SA730017009";"MA400019792";"0";""
"1727030";"SA580014262";"MA170008917";"0";""
"1727059";"SA670000158";"MA460008628";"0";""
"1727248";"SA850009019";"MA410003702";"0";""
"1727328";"SA950006457";"MA550001018";"0";""
"1727432";"SA630017461";"MA340009314";"0";""
"1727543";"SA380015699";"MA420007521";"0";""
"1727888";"SA230014070";"MA190000290";"0";""
"1727940";"SA950012516";"MA280001541";"0";""
"1728097";"SA790001305";"MA790001364";"0";""
"1728134";"SA560012962";"MA840018630";"0";""
"1728151";"SA840015479";"MA140004520";"0";""
"1728222";"SA440005156";"MA150021928";"1";"31.05.2021"
"1728287";"SA730007110";"MA330001704";"0";""
"1728298";"SA120009337";"MA660003995";"0";""
"1728350";"SA180004636";"MA570013156";"0";""
"1728398";"SA280004629";"MA580018643";"0";""
"1728402";"SA500011183";"MA600019656";"0";""
"1728541";"SA620016779";"MA670019558";"0";""
"1728609";"SA760013679";"MA250002754";"1";"28.02.2021"
"1728750";"SA370011967";"MA210003873";"0";""
"1728784";"SA130018452";"MA480010246";"0";""
"1728823";"SA630006723";"MA940012477";"0";""
"1728848";"SA260002971";"MA790014223";"0";""
"1728923";"SA180012587";"MA600001622";"0";""
"1729256";"SA810015727";"MA140021274";"0";""
"1729263";"SA200011525";"MA310000575";"0";""
"1729368";"SA250019322";"MA230002654";"1";"31.08.2021"
"1729522";"SA310015641";"MA690001797";"0";""
"1729566";"SA140000657";"MA940003568";"0";""
"1729654";"SA860016204";"MA890002356";"1";"31.08.2020"
"1729738";"SA170013512";"MA290002562";"1";"31.03.2022"
"1729930";"SA370017533";"MA590009379";"0";""
"1730017";"SA910011211";"MA780000278";"0";""
"1730024";"SA160001750";"MA890007511";"0";""
"1730053";"SA430016259";"MA700013529";"1";"31.01.2021"
"1730123";"SA750009090";"MA410000904";"0";""
"1730145";"SA980014489";"MA840009161";"1";"31.08.2020"
"1730234";"SA230007893";"MA580010936";"1";"28.02.2021"
"1730480";"SA430002468";"MA750010997";"1";"31.05.2021"
"1730543";"SA720019342";"MA820022064";"1";"31.01.2022"
"1730702";"SA660012397";"MA410018047";"0";""
"1730778";"SA960017565";"MA240006578";"0";""
"1730908";"SA550017127";"MA870006143";"0";""
"1731159";"SA910018966";"MA290005134";"1";"30.09.2021"
"1731167";"SA470004242";"MA860010064";"0";""
"1731189";"SA580018073";"MA720020828";"0";""
"1731426";"SA570014692";"MA370006533";"0";""
"1731466";"SA370018609";"MA710015779";"0";""
"1731504";"SA110018125";"MA580020865";"0";""
"1731709";"SA670014160";"MA180011550";"0";""
"1731721";"SA830012994";"MA460021435";"0";""
"1731759";"SA240007070";"MA430010135";"0";""
"1731799";"SA470009519";"MA460012516";"0";""
"1731819";"SA460015198";"MA140004250";"0";""
"1731820";"SA360021999";"MA480016344";"1";"31.05.2021"
"1731827";"SA270011309";"MA220006010";"0";""
"1731840";"SA220014092";"MA370014247";"0";""
"1731861";"SA720005883";"MA390017092";"0";""
"1731926";"SA320016818";"MA400019595";"0";""
"1732124";"SA390016456";"MA360005467";"1";"31.03.2022"
"1732166";"SA890021063";"MA400001531";"0";""
"1732170";"SA210007979";"MA250011006";"1";"30.06.2022"
"1732286";"SA370022159";"MA240019265";"1";"31.10.2022"
"1732351";"SA950009828";"MA480021073";"0";""
"1732404";"SA550010525";"MA740005241";"1";"28.02.2022"
"1732671";"SA240006344";"MA210020339";"0";""
"1732748";"SA970002156";"MA170016108";"1";"31.10.2022"
"1732752";"SA220001680";"MA360021187";"0";""
"1732901";"SA940006641";"MA610012386";"0";""
"1732957";"SA380018821";"MA180015975";"0";""
"1732962";"SA240012035";"MA590012236";"0";""
"1732975";"SA610015199";"MA430015256";"0";""
"1733151";"SA440004600";"MA950015837";"0";""
"1733266";"SA900011261";"MA600005967";"0";""
"1733315";"SA570021191";"MA780007307";"0";""
"1733468";"SA820012114";"MA580017775";"0";""
"1733488";"SA410002591";"MA810016538";"1";"31.10.2022"
"1733523";"SA880011240";"MA500019714";"0";""
"1733534";"SA410002164";"MA180018903";"1";"28.02.2021"
"1733573";"SA780011808";"MA510014795";"0";""
"1733768";"SA580021557";"MA920021456";"0";""
"1733791";"SA580000517";"MA110014480";"0";""
"1733846";"SA270001851";"MA790004822";"0";""
"1733872";"SA480014134";"MA850011520";"1";"30.09.2022"
"1733975";"SA640014329";"MA260003425";"0";""
"1734032";"SA940013115";"MA590018797";"0";""
"1734062";"SA640007441";"MA870002059";"0";""
"1734115";"SA190002849";"MA200008610";"0";""
"1734242";"SA690016063";"MA740018841";"0";""
"1734312";"SA360018395";"MA350015595";"0";""
"1734316";"SA480006396";"MA840014895";"0";""
"1734387";"SA410016169";"MA100005170";"1";"31.12.2021"
"1734421";"SA220002065";"MA430005052";"0";""
"1734431";"SA540010819";"MA570013815";"1";"31.12.2021"
"1734467";"SA320016400";"MA700019146";"1";"31.01.2021"
"1734484";"SA440004880";"MA970010712";"1";"30.11.2020"
"1734565";"SA710012891";"MA620018565";"0";""
